unique_id,ds,y
SKU_01,2021-04-05,66.0
SKU_01,2021-04-06,58.0
SKU_01,2021-04-07,106.0
SKU_01,2021-04-08,49.0
SKU_01,2021-04-09,62.0
SKU_01,2021-04-10,17.0
SKU_01,2021-04-11,4.0
SKU_01,2021-04-12,61.0
SKU_01,2021-04-13,68.0
SKU_01,2021-04-14,56.0
SKU_01,2021-04-15,89.0
SKU_01,2021-04-16,59.0
SKU_01,2021-04-17,10.0
SKU_01,2021-04-18,22.0
SKU_01,2021-04-19,49.0
SKU_01,2021-04-20,53.0
SKU_01,2021-04-21,11.0
SKU_01,2021-04-22,84.0
SKU_01,2021-04-23,58.0
SKU_01,2021-04-24,15.0
SKU_01,2021-04-25,10.0
SKU_01,2021-04-26,71.0
SKU_01,2021-04-27,54.0
SKU_01,2021-04-28,61.0
SKU_01,2021-04-29,65.0
SKU_01,2021-04-30,68.0
SKU_01,2021-05-01,9.0
SKU_01,2021-05-02,17.0
SKU_01,2021-05-03,74.0
SKU_01,2021-05-04,64.0
SKU_01,2021-05-05,104.0
SKU_01,2021-05-06,114.0
SKU_01,2021-05-07,105.0
SKU_01,2021-05-08,19.0
SKU_01,2021-05-09,3.0
SKU_01,2021-05-10,96.0
SKU_01,2021-05-11,83.0
SKU_01,2021-05-12,114.0
SKU_01,2021-05-13,73.0
SKU_01,2021-05-14,69.0
SKU_01,2021-05-15,7.0
SKU_01,2021-05-16,5.0
SKU_01,2021-05-17,68.0
SKU_01,2021-05-18,137.0
SKU_01,2021-05-19,109.0
SKU_01,2021-05-20,192.0
SKU_01,2021-05-21,100.0
SKU_01,2021-05-22,27.0
SKU_01,2021-05-23,29.0
SKU_01,2021-05-24,134.0
SKU_01,2021-05-25,152.0
SKU_01,2021-05-26,141.0
SKU_01,2021-05-27,184.0
SKU_01,2021-05-28,131.0
SKU_01,2021-05-29,31.0
SKU_01,2021-05-30,30.0
SKU_01,2021-05-31,225.0
SKU_01,2021-06-01,167.0
SKU_01,2021-06-02,117.0
SKU_01,2021-06-03,53.0
SKU_01,2021-06-04,169.0
SKU_01,2021-06-05,17.0
SKU_01,2021-06-06,18.0
SKU_01,2021-06-07,272.0
SKU_01,2021-06-08,198.0
SKU_01,2021-06-09,126.0
SKU_01,2021-06-10,186.0
SKU_01,2021-06-11,184.0
SKU_01,2021-06-12,22.0
SKU_01,2021-06-13,21.0
SKU_01,2021-06-14,155.0
SKU_01,2021-06-15,131.0
SKU_01,2021-06-16,162.0
SKU_01,2021-06-17,84.0
SKU_01,2021-06-18,99.0
SKU_01,2021-06-19,9.0
SKU_01,2021-06-20,15.0
SKU_01,2021-06-21,95.0
SKU_01,2021-06-22,163.0
SKU_01,2021-06-23,127.0
SKU_01,2021-06-24,91.0
SKU_01,2021-06-25,80.0
SKU_01,2021-06-26,12.0
SKU_01,2021-06-27,9.0
SKU_01,2021-06-28,149.0
SKU_01,2021-06-29,135.0
SKU_01,2021-06-30,147.0
SKU_01,2021-07-01,78.0
SKU_01,2021-07-02,7.0
SKU_01,2021-07-03,0.0
SKU_01,2021-07-04,0.0
SKU_01,2021-07-05,3.0
SKU_01,2021-07-06,66.0
SKU_01,2021-07-07,85.0
SKU_01,2021-07-08,144.0
